# z mu_apparent dmu
0.654744 23.999357 0.293077
0.757907 24.601825 0.403478
0.488709 23.487415 0.174143
0.596773 23.517359 0.257146
0.346835 22.620753 0.121370
0.209941 21.014241 0.105562
0.342969 22.290233 0.098663
0.563141 23.698590 0.225529
0.268657 21.648473 0.113981
0.171088 20.683685 0.095407
0.574328 23.488611 0.312254
0.703973 24.370728 0.397834
0.669720 23.904480 0.238269
0.407490 23.017616 0.330313
0.605771 24.301610 0.263544
0.714682 23.646498 0.316707
0.285619 21.747749 0.161780
0.287620 22.152433 0.227642
0.247029 21.241149 0.158522
0.312593 22.120516 0.204575
0.286032 21.653793 0.213951
0.459269 23.463260 0.280316
0.328969 22.045127 0.151068
0.704200 23.464972 0.401153
0.629732 24.078759 0.200949
0.517672 23.581337 0.214429
0.366800 22.282337 0.109973
0.302457 21.800228 0.122463
0.529177 23.127085 0.279879
0.768641 24.869024 0.439412
0.262501 21.491393 0.191181
0.284025 21.709648 0.091516
0.768655 24.600154 0.294902
0.456268 23.524782 0.348155
0.631568 23.841449 0.331319
0.805081 24.861774 0.378540
0.689528 23.913272 0.264002
0.295886 21.849558 0.103827
0.700536 23.157556 0.373601
0.509845 23.628014 0.217960
0.345812 21.798864 0.229435
0.288890 22.148601 0.212709
0.286038 21.494268 0.104347
0.268026 21.678729 0.119777
0.269034 21.591175 0.125140
0.358975 22.497860 0.185524
0.224697 21.230844 0.129198
0.438483 22.448861 0.258141
0.418927 22.901743 0.196851
0.325990 22.168117 0.108587
0.182093 20.456386 0.108885
0.260655 21.112397 0.141433
0.426912 22.917162 0.181943
0.433485 22.756698 0.151465
0.473872 23.224266 0.197358
0.650565 23.774574 0.307238
0.621574 23.328319 0.404041
0.635248 23.972258 0.313500
0.685191 23.631414 0.329330
0.347551 22.332546 0.140936
0.177747 20.452154 0.138435
0.311850 21.530067 0.096698
0.353835 22.575528 0.127082
0.611786 24.314926 0.230541
0.540666 23.137278 0.237592
0.408934 22.683740 0.195475
0.608300 23.719081 0.274776
0.558642 23.143823 0.236148
0.443742 22.743109 0.141779
0.652072 23.984925 0.352361
0.325858 22.036684 0.098060
0.259056 21.625348 0.079523
0.797084 23.713038 0.510532
0.734157 24.022729 0.459608
0.219933 20.991431 0.141260
0.512665 23.369806 0.154254
0.529359 23.280581 0.261535
0.268643 22.246679 0.186619
0.311588 22.281354 0.171230
0.213699 21.195419 0.146688
0.680533 23.811876 0.270545
0.726507 23.798889 0.393224
0.557639 23.921311 0.242407
0.668538 23.916415 0.251432
0.438892 23.144532 0.164901
0.705513 24.595870 0.318302
0.649582 24.688137 0.293707
0.755693 23.938466 0.367333
0.397500 22.193139 0.164909
0.190727 20.926961 0.101269
0.634589 23.038594 0.348385
0.421492 22.114843 0.288829
0.648570 24.193597 0.532935
0.353566 22.124822 0.139834
0.598310 23.606072 0.298218
0.403499 22.743524 0.174509
0.529690 22.716061 0.233262
0.348466 21.265491 0.120559
0.327859 22.016734 0.145219
0.485721 23.423937 0.166369
0.518842 23.209487 0.190104
0.370539 22.442820 0.299698
0.633749 24.086508 0.378006
0.499252 23.131339 0.575069
0.145115 20.233062 0.121230
0.309850 22.011846 0.086900
0.550801 23.641065 0.226294
0.315584 22.086526 0.137900
0.518837 23.560904 0.328213
0.372537 22.462403 0.118718
0.580794 23.156171 0.163356
0.461722 23.161602 0.142985
0.550341 23.581935 0.193878
0.582634 23.426702 0.219738
0.652575 24.317965 0.213728
0.484699 23.284935 0.142800
0.628569 23.005127 0.396311
0.411942 22.234305 0.179347
0.305017 21.820940 0.089192
0.456447 22.630686 0.106097
0.618589 23.851369 0.229631
0.285636 21.724933 0.080359
0.405516 23.021889 0.146623
0.294623 21.836932 0.068909
0.453460 23.073309 0.168219
0.219920 20.827308 0.076472
0.248913 23.227679 0.217471
0.618841 23.759211 0.299860
0.404929 22.430587 0.124885
0.528378 23.599592 0.191987
0.036378 17.056422 0.061811
0.021098 15.512948 0.084079
0.027218 16.399707 0.068679
0.028502 16.164888 0.068357
0.019271 15.710278 0.101437
0.031073 16.645142 0.072079
0.023748 15.875964 0.081745
0.034927 16.936269 0.061597
0.016964 15.624981 0.072963
0.021215 15.737158 0.080487
0.035770 17.129092 0.065134
0.026913 16.181722 0.071314
0.043077 17.402313 0.070389
0.035014 16.519795 0.063126
0.038320 17.035173 0.068753
0.030250 16.610241 0.063855
0.023095 15.940794 0.076423
0.016775 15.348993 0.069197
0.015783 15.177798 0.087087
0.047763 17.601327 0.060381
0.038001 17.374873 0.069881
0.031886 17.025530 0.078509
0.017958 15.512750 0.075296
0.023489 16.363322 0.074133
0.035920 17.094665 0.077192
0.034455 16.906352 0.068928
0.016708 15.518261 0.066661
0.022198 15.935198 0.086711
0.025785 16.070982 0.078524
0.021042 15.764595 0.069731
0.030032 16.345999 0.069631
0.103877 19.408947 0.093260
0.025216 16.241254 0.064824
0.047689 17.606914 0.060206
0.059501 17.565770 0.063555
0.049522 17.533790 0.069218
0.073015 18.717177 0.103609
0.036014 17.355162 0.070265
0.070943 18.417654 0.075988
0.078547 18.624454 0.064787
0.067583 18.416204 0.075298
0.050620 17.657481 0.067598
0.033079 16.865055 0.065940
0.087243 19.004399 0.095172
0.071480 18.478709 0.070971
0.079001 18.521251 0.070907
0.109422 19.610126 0.090628
0.083862 18.962245 0.098313
0.022210 16.073989 0.076005
0.066030 18.252633 0.071529
0.030066 16.435847 0.077074
0.038907 17.264486 0.078520
0.071928 18.690084 0.079062
0.045489 17.322693 0.062590
0.070462 18.454990 0.062136
0.024742 16.099639 0.072829
0.027485 16.445746 0.075529
0.028745 16.403135 0.066700
0.045024 17.538772 0.071276
0.020390 15.810812 0.073272
0.031275 16.713177 0.070291
0.014495 15.114601 0.088127
0.037865 17.138447 0.064832
0.025241 16.328936 0.076935
0.024076 15.511172 0.059984
0.015994 15.020983 0.065026
0.019538 15.169862 0.061986
0.052674 17.890568 0.065128
0.015216 15.190492 0.063350
0.047344 17.587680 0.060783
0.026412 16.218504 0.078767
0.030527 16.406291 0.073328
0.018547 15.408241 0.070355
0.026763 16.254843 0.069985
0.056685 17.986978 0.061036
0.025819 16.314305 0.064904
0.029009 16.537431 0.071877
0.068407 18.375285 0.069183
0.046771 17.562655 0.063726
0.048968 17.541706 0.069447
0.092907 18.458690 0.064991
0.019768 15.595947 0.088210
0.067312 18.244912 0.079283
0.090233 18.160274 0.081214
0.055894 17.469099 0.061626
0.064195 18.104097 0.061575
0.025535 16.299553 0.079787
0.051241 17.207725 0.048370
0.012189 15.367829 0.130903
0.018387 15.595972 0.072028
0.042526 17.267698 0.071585
0.040570 17.120163 0.071616
0.054857 18.010540 0.059319
0.035143 16.519278 0.073674
0.035889 16.825923 0.066614
0.054306 17.786337 0.057705
0.047776 17.555286 0.065342
0.078334 18.938403 0.066062
0.014065 15.052968 0.069674
0.035659 16.710944 0.065108
0.031099 16.706355 0.070019
0.024255 16.280372 0.050678
0.027431 16.348868 0.082924
0.022962 16.289555 0.082655
0.063979 18.139698 0.065445
0.025459 16.603598 0.073646
0.035417 17.267658 0.074355
0.015666 15.087278 0.079865
0.029944 16.531972 0.069044
0.049957 17.719189 0.065478
0.029901 16.320359 0.075616
0.083326 18.927558 0.080353
0.044044 17.432077 0.070443
0.037606 17.121377 0.068170
0.028441 16.797798 0.067726
0.029648 16.372165 0.068177
0.051650 17.709128 0.062268
0.073988 18.648400 0.067943
0.023950 16.207272 0.065556
0.030813 16.765090 0.064731
0.071719 18.458949 0.095736
0.029799 16.639273 0.077423
0.049976 17.946218 0.067090
0.070734 18.255363 0.068018
0.024055 15.958962 0.068479
0.044883 17.371843 0.072965
0.016321 15.347381 0.064364
0.046119 17.666864 0.063753
0.029341 16.479855 0.077421
0.010395 14.513321 0.095666
0.018513 15.673069 0.072208
0.016296 15.166752 0.063070
0.083652 18.957577 0.083404
0.039738 17.178569 0.064904
0.057079 18.090990 0.077519
0.048393 17.723496 0.081257
0.015182 15.462932 0.058896
0.086550 19.024131 0.092991
0.014230 14.939054 0.077109
0.075285 18.501648 0.082424
0.020936 15.416588 0.080875
0.060671 18.317635 0.081775
0.084561 18.379375 0.066015
0.037038 16.998614 0.074790
0.020193 15.959583 0.073685
0.033701 16.690000 0.072389
0.053198 17.903634 0.072301
0.042645 17.354416 0.063549
0.052286 17.844649 0.064629
0.051382 17.827151 0.069110
0.043904 17.353850 0.068663
0.067231 18.480049 0.079988
0.032070 16.577953 0.075117
0.028948 16.499792 0.075663
0.033146 16.815840 0.063639
0.047811 17.613306 0.071768
0.032644 16.699180 0.067619
0.017918 15.296213 0.068323
0.023318 15.675000 0.055953
0.074676 18.310489 0.088358
0.023818 15.930924 0.067749
0.024997 15.991051 0.063917
0.012223 14.675583 0.071054
0.031562 16.576027 0.074586
0.033373 16.899808 0.064315
0.039974 17.243279 0.072700
0.049701 17.444408 0.073062
0.060794 18.093521 0.074036
0.069100 18.283391 0.063815
0.027787 16.498596 0.085489
0.040450 17.474629 0.082899
0.055303 17.755455 0.066630
0.024928 16.101624 0.070150
0.015287 14.932895 0.059610
0.030021 16.605203 0.073838
0.026435 16.259844 0.070432
0.029884 16.548364 0.085706
0.033713 17.028555 0.071161
0.026185 16.228064 0.071815
0.025378 16.334191 0.075391
0.082679 19.019013 0.070646
0.028017 16.284872 0.077445
0.078274 18.792542 0.091982
0.056420 17.960458 0.069004
0.032015 16.640541 0.072015
0.030922 16.640446 0.070908
0.047640 17.506451 0.075156
0.030488 16.364659 0.068247
0.016726 14.798239 0.059379
0.010388 14.205588 0.095468
0.022376 15.991731 0.084038
0.013931 14.816792 0.080574
0.012765 15.188166 0.093724
0.019777 15.530210 0.083978
0.028941 16.579286 0.061914
0.037268 17.049394 0.095581
0.014706 14.974051 0.082587
0.030810 16.850739 0.066726
0.017751 15.391507 0.080272
0.058368 18.103072 0.070607
0.030924 16.772855 0.069460
0.015193 14.847784 0.058585
0.020193 15.929079 0.071240
0.025002 16.258092 0.061457
0.035325 16.941571 0.064366
0.022389 16.028493 0.070699
0.015951 15.017217 0.060455
0.019738 16.116408 0.082786
0.036171 17.016877 0.053422
0.014922 15.026018 0.058723
0.012900 14.560168 0.076401
0.026565 16.131559 0.132154
0.034570 16.598449 0.063229
0.026427 16.065407 0.067002
0.024758 15.950541 0.064812
0.016570 15.415397 0.084181
0.010300 14.184682 0.098921
0.015301 14.941145 0.081422
0.022607 15.855106 0.059904
0.025011 16.601877 0.061697
0.028100 16.440477 0.054330
0.010400 13.874474 0.067562
0.015174 15.175731 0.072396
0.015158 15.173994 0.091935
0.010500 14.253683 0.111165
0.026338 16.327595 0.060153
0.022811 15.763296 0.066094
0.027542 16.184081 0.069690
0.036713 16.980026 0.058751
0.013400 14.763017 0.084490
0.024844 16.144158 0.065859
0.021100 15.561633 0.060368
0.033757 16.616147 0.066789
0.039124 17.080698 0.054489
0.033175 17.090434 0.058913
0.014307 14.983307 0.061214
0.024272 16.157809 0.062820
0.032100 16.783797 0.051991
0.022533 16.020587 0.071629
0.022153 15.909949 0.056578
0.024098 15.882967 0.056757
0.024264 15.828003 0.064877
0.021912 15.918608 0.073592
0.016456 14.758296 0.065986
0.015013 15.208089 0.062767
0.034100 16.978498 0.050573
0.023300 15.923793 0.057706
0.020950 15.817225 0.075972
0.030766 16.657255 0.056922
